token	global_tfidf_sum
شماره	1360.401214
پردازش	1198.977050
بررسی	1157.384866
خطای	1056.255793
اطلاعات	955.766870
حساب	921.895499
گروه	910.677518
فنی	909.063075
ارجاع	906.158761
دریافت	888.197389
درخواست	785.212340
پیغام	773.838346
مشتری	738.319422
گزارش	699.729635
طریق	698.347148
کارت	690.131256
چک	648.176232
سامانه	612.975486
صورت	574.490852
استعلام	563.835018
قرارداد	549.588952
ثبت	512.994099
وضعیت	506.157155
کد	484.820464
تسهیلات	479.858669
نمایش	460.422204
اقدام	459.626117
رفع	449.720690
مبلغ	446.182337
کاربر	426.691351
مشکل	408.360637
تاریخ	400.167169
شعبه	361.546052
بانک	344.109921
مشتریان	340.367694
اسناد	322.812096
صدور	308.662719
بروزرسانی	293.997183
حواله	280.225072
پیشنهاد	279.469445
شناسه	272.742821
بانکی	267.158692
ملی	260.539877
برداشت	255.967385
تایید	254.204333
برگشت	247.043009
واریز	239.497547
مانده	236.382748
حقوقی	230.769365
نام	230.488561
همراه	226.941695
اعتبار	224.519958
پرداخت	220.957894
اصلاح	219.915695
ارسال	217.240900
بانکداری	216.211921
سریال	213.703875
ضمانتنامه	212.205665
صورتی	211.628759
اشتباه	210.524947
کلید	207.009547
متمرکز	206.657501
عملیات	203.034684
سری	196.871115
ورود	196.632692
انجام	194.375103
حقیقی	189.557842
واحد	188.880133
بازپرداخت	188.245728
مجوز	186.320291
ریز	185.546401
کارمزد	184.639752
انتقال	180.858605
الکترونیک	176.919676
سپرده	176.333574
مشاهده	176.120394
اعتباری	173.999882
افتتاح	172.882979
مسدودی	172.635133
فعال	170.882621
مطابق	170.666328
ملت	170.563119
واگذاری	169.199575
کاربران	168.491099
صورتحساب	167.999940
خطا	167.895276
خدمات	165.798298
چاپ	163.800170
رمز	162.964007
ردیف	159.367636
ارز	159.361347
فیلد	158.607242
اینترنتی	158.589698
تحویل	158.014809
ابطال	156.578024
وثیقه	155.934687
اسنادی	154.305590
لاک	154.255056
اطلاعیه	154.197093
مصوبه	153.553707
مرکز	153.507690
مجدد	151.544601
ارزی	151.519158
تمدید	150.580330
مرکزی	147.040263
جام	143.631026
بدهی	143.178074
بن	142.118280
شعب	141.955705
فروش	141.689366
پیگیری	140.740744
وجه	139.272233
ناقص	138.458775
صیاد	137.595856
گردش	136.934877
وثایق	136.651162
سیستم	134.425328
انتقالی	133.555050
نشد	133.363374
مذکور	133.063000
کاربری	131.110034
انتخاب	129.868516
انسداد	128.699750
ستاد	128.486121
سقف	128.141979
اقساط	127.727639
ذینفع	127.617814
صورتیکه	125.657635
روز	124.969366
عملکرد	124.520946
هدیه	124.450153
برگشتی	122.963423
پایا	122.242853
استفاده	122.139394
محل	122.018976
توسط	121.208712
شرح	120.954297
سررسید	120.899640
داخلی	119.929837
مشخصات	119.770017
احوال	118.627764
وندیا	118.616006
موجودی	118.337523
شرایط	115.509228
تسویه	113.731521
صفحه	111.161012
بک	109.661004
بابت	109.525050
آخر	109.522934
چکاوک	108.748652
موجود	108.271693
خودپرداز	107.523983
مجاز	104.476976
پرسنلی	104.067818
پوز	103.577369
آفیس	103.205648
صحیح	102.408363
سند	102.001281
خرید	101.539282
اکسس	101.022412
مدیریت	100.392688
سرویس	100.374829
ذکر	100.094486
تکلیف	100.035825
ایجاد	99.244726
صاحب	99.111252
بیمه	99.074523
نقش	98.384378
اداره	97.061143
مرحله	96.656541
آنی	96.528636
گزینه	95.772773
بایگانی	95.713239
پاسخ	95.516503
شهاب	95.071796
اصلی	95.041050
موارد	94.294474
فاقد	93.519768
مالی	92.566518
نقدی	92.336133
نشده	92.148944
تخصیص	92.014934
اوراق	91.114189
مربوطه	90.600368
not	90.392404
پشتیبانی	90.160265
سود	89.541047
نسخه	88.745246
اشکال	88.075230
اعطای	86.875652
حذف	86.340814
فایل	86.025103
معتبر	85.483718
گواهی	84.509854
تماس	82.751564
معرفی	82.265388
اشتراکی	81.955765
کدملی	81.675953
باکس	81.481813
ریالی	81.466302
اخذ	81.147271
پیچک	80.297955
منوی	80.101221
مبلغی	79.942952
ارتباط	79.693329
میسر	78.923747
bm	78.827279
صادر	78.268473
خارجی	77.500627
نموده	77.031679
گزارشات	76.964411
تعریف	76.907491
اطلاعاتی	76.782535
دستگاه	76.540037
پیامک	76.357175
کارتابل	75.379509
فرم	75.189434
بستن	74.785951
ثبتی	73.989667
قانونی	73.807528
چکهای	73.731318
کوتاه	73.353386
نمایند	73.307664
F	72.589179
حسابها	72.509118
error	72.208348
پژواک	72.131719
کلر	72.055090
اشخاص	72.014722
خالی	71.711098
سیتواسیون	71.578225
سپام	70.598009
ضامن	70.529657
عنوان	70.380821
ریال	69.268330
تبادل	67.767241
X	67.669420
قسمت	67.607846
لطفا	67.565650
اساس	67.420510
نمایید	67.356612
گردیده	66.490781
بهادار	65.880474
تراکنش	65.805097
نماینده	65.705809
نمود	65.583092
دسترسی	64.186508
نرخ	64.130642
وصول	63.959297
خلاصه	63.567000
ساتنا	63.175679
نمودن	63.159212
نماید	62.413469
تاریخچه	62.206948
خطایی	61.924889
کسر	60.904316
فرابانک	60.746760
بلند	60.328876
هنگ	59.703773
اموال	58.922294
مسدود	58.446155
تصویب	58.440377
نقد	58.332421
انتظامی	56.694744
حاضر	56.683983
تنظیم	56.281360
تقسیط	56.227069
رهگیری	55.983542
مغایرت	55.671247
صرفا	55.606312
حسابهای	55.591673
شرکت	55.356753
ارائه	54.919923
شایان	54.209460
ATM	54.070033
کاری	54.001394
سال	53.941196
Branch	53.899572
طرح	53.844729
سرفصل	53.298641
تعهدات	53.190496
کارتهای	52.981180
شارژ	52.348683
قبلی	51.984646
مقصد	51.814922
مطالبات	51.559556
تحویلداری	51.324582
قبلا	51.199794
تخفیف	50.539457
مشارکت	50.294732
روزانه	50.153202
حداکثر	50.075544
مراجع	49.824838
نامعتبر	49.777904
x	49.683410
صادره	49.380401
itsm	48.632904
اسکن	48.601971
مصوبات	48.513588
چیست	48.412232
کمتر	48.251806
زمان	48.149841
تامین	48.084767
مرتبط	48.026029
دلیل	48.009522
سازمانی	47.980203
صفر	47.769283
is	47.637504
ساعت	47.547019
مکانیزه	47.165101
سرمایه	47.018428
اعتبارات	46.924062
لغو	46.613309
اجباری	46.561509
غیرفعال	46.447721
متمم	46.356760
ابلاغ	46.215627
مقدار	46.140689
رد	45.781787
خزانه	45.502375
امتیاز	45.380313
اعطا	44.905862
مستند	44.877678
منقضی	44.821361
شبا	44.778971
درصد	44.760912
حسابداری	44.680376
بسته	44.586394
اقلام	44.558238
قطعی	44.408364
گیرنده	44.400740
امهال	44.370509
c	44.202666
هنگی	44.140702
تولید	44.110141
نامه	43.923067
خدمت	43.922706
address	43.862123
هزینه	43.802718
دریافتی	43.784899
تبادلات	43.733544
خیر	43.587223
تحریر	43.580483
فعالسازی	43.485923
پایگاه	43.341994
کارگزار	43.304525
حاصل	43.183430
توجه	43.042719
سنجش	43.010146
تمبر	42.951081
سفارش	42.917563
نگردیده	42.792718
خام	42.632124
اعلام	42.206405
ذیصلاح	42.020069
of	41.729849
عبور	41.678958
المثنی	41.621734
دولتی	41.587444
بصورت	41.295285
تحویلی	41.212537
زمانی	41.110635
فراگیر	41.008603
کاهش	40.742482
روابط	40.710527
درج	40.526496
حسابگری	40.361910
a	40.199508
انقضای	40.181295
مالیاتی	40.169066
یکبار	40.166047
دستور	39.856975
درگاه	39.849178
یکسان	39.826618
رسانی	39.704111
ویرایش	38.847163
چنانچه	38.802810
امور	38.795866
لیست	38.523414
in	38.407551
کلیه	38.229572
پستی	38.207266
مدنی	38.075545
فروشگاهی	37.747289
میزان	37.529183
ارسالی	37.260842
صحت	37.068725
کار	36.666826
موردی	36.523282
مبالغ	36.499147
خارج	36.462676
اجرای	36.299814
عودت	36.227231
نمونه	36.210836
بازخرید	36.137159
تهران	36.060523
تائید	36.059536
آرشیو	35.962784
ایستگاه	35.830754
پشتیبان	35.629061
شهرستان	35.528231
بارگذاری	35.482429
دولت	35.272809
گذشته	35.049216
شتابی	34.680549
کنترل	34.621238
استعلامات	34.469749
امضاء	34.149079
وارده	33.899776
شخص	33.892426
قراردادهای	33.818393
پایان	33.730529
گمرکی	33.682827
واکشی	33.488125
کسب	33.430098
تکمیل	33.422675
ترمینال	33.389626
ادامه	33.321627
the	33.288290
تمکن	33.284675
خانوادگی	33.147548
شاهکار	33.129626
انقضا	32.950890
دین	32.579421
مرجع	32.570823
اختیارات	32.563102
برقراری	32.351139
استرداد	32.278238
تیک	32.168471
ساخت	31.961817
حج	31.946114
connection	31.828255
فعالیت	31.686473
محاسبه	31.617745
روال	31.377453
ستادی	31.123997
آدرس	31.056203
تکراری	30.811190
باجه	30.441341
الکترونیکی	30.320868
انواع	29.793885
درصورت	29.740750
تلفن	29.656112
valid	29.482025
رقم	29.427279
ماه	29.273585
مجموع	29.230998
could	29.044529
فعلی	28.992334
value	28.908601
مکنا	28.651908
مثبت	28.624142
عادی	28.564839
شبای	28.509474
ذیل	28.403325
type	28.271403
ضبط	28.158791
فروشنده	28.149885
پل	27.952877
اعمال	27.890479
request	27.768102
پرونده	27.425773
عکس	27.375217
افزایش	27.278857
مجازی	27.261435
موقت	27.258415
مازاد	27.245460
دهنده	27.025232
تجاری	27.001433
وجوه	26.985572
منطقه	26.971983
ناموفق	26.953752
متصل	26.929417
گشاینده	26.872912
رسیده	26.615262
at	26.335882
گشایش	26.322257
بله	26.265036
بازیابی	26.230391
حضوری	26.129141
اولیه	26.065368
اقساطی	25.953629
server	25.896403
امضا	25.896176
تفکیک	25.869353
انفرادی	25.697267
تنزیل	25.648844
پولشویی	25.480134
پیام	25.344425
ورودی	25.297827
بدهکاران	25.170472
operation	25.045107
کارکنان	24.996089
متعلق	24.982820
کاربردی	24.917858
شاخص	24.857154
violation	24.836706
