ngram	global_tfidf_sum
شماره	609.255163
پردازش	545.543616
بررسی	521.901603
خطای	468.117647
اطلاعات	428.188808
حساب	419.158867
گروه	405.901938
فنی	404.908806
ارجاع	403.564335
گروه فنی	403.296958
فنی ارجاع	402.669788
گروه فنی ارجاع	402.638996
جهت بررسی	402.031378
بررسی گروه فنی	401.672192
بررسی گروه	401.671707
جهت بررسی گروه	401.615632
دریافت	396.804070
درخواست	346.706788
پیغام	344.179500
مشتری	338.984934
پیغام خطای	332.892138
طریق	324.415550
کارت	322.745826
گزارش	320.983700
ارجاع اطلاعات	312.887677
فنی ارجاع اطلاعات	312.460639
دریافت جهت	299.286817
چک	297.652125
دریافت جهت بررسی	297.404094
سامانه	289.291087
اطلاعات شماره	273.397981
ارجاع اطلاعات شماره	272.584160
صورت	270.694811
استعلام	261.433393
قرارداد	254.550593
ثبت	239.515987
وضعیت	233.908170
خطای شماره	230.048888
کد	223.162464
پردازش گزارش	222.822847
تسهیلات	218.666736
نمایش	211.695740
اقدام	211.460079
رفع	209.995739
مبلغ	208.227306
شماره حساب	204.555087
شماره دریافت	202.665082
خطای شماره دریافت	202.165492
کاربر	200.168400
مشکل	189.899895
تاریخ	188.029744
رفع مشکل	180.387734
مشکل جهت	175.878765
رفع مشکل جهت	174.349046
طریق پردازش	169.533637
مشکل جهت بررسی	168.314877
شعبه	167.647727
شماره مشتری	167.620920
طریق اقدام	162.384731
بانک	160.787439
مشتریان	160.094652
صورت رفع	158.032425
صورت رفع مشکل	157.518230
اسناد	152.593651
شماره دریافت جهت	141.316735
صدور	140.992005
نمایش جهت	140.740847
نمایش جهت بررسی	138.500172
بروزرسانی	138.224669
پیشنهاد	129.847911
حواله	129.378636
شناسه	128.252451
اطلاعات شماره حساب	126.639632
بانکی	120.926128
ملی	120.758268
شماره قرارداد	120.705752
بررسی صورت	120.158100
برداشت	119.236308
تایید	117.691693
برگشت	116.763249
مانده	113.194746
پردازش درخواست	110.214023
حقوقی	109.026909
واریز	108.967955
نام	106.035497
اعتبار	104.699070
همراه	103.888907
صورتی	103.212221
ارسال	102.645419
پرداخت	102.527112
ضمانتنامه	102.038526
بانکداری	101.615036
اصلاح	99.585655
اطلاعات شماره مشتری	98.938105
اطلاعات شماره قرارداد	97.907348
سریال	96.217149
بررسی صورت رفع	95.729630
کلید	95.526832
متمرکز	95.359353
شماره درخواست	94.643438
اشتباه	93.887566
انجام	92.537201
عملیات	92.475201
ورود	92.432849
واحد	92.178848
پردازش بروزرسانی	89.822215
حقیقی	89.678491
بازپرداخت	89.083450
سری	88.607040
کارمزد	87.464307
ریز	86.528551
مسدودی	86.156541
پردازش ثبت	85.657847
سامانه بانکداری	85.195819
مجوز	84.808804
الکترونیک	84.700079
انتقال	84.582734
مطابق	83.875346
مشاهده	82.758886
سپرده	82.572455
ملت	81.863564
سری سریال	81.809617
افتتاح	80.331631
فعال	79.325802
صورتحساب	79.066754
طریق پردازش گزارش	78.969188
اعتباری	78.919391
واگذاری	78.493195
رمز	78.365752
چاپ	78.153237
اقدام طریق	77.912044
خدمات	77.614148
وثیقه	77.113125
کاربران	77.091096
طریق اقدام طریق	76.747636
اطلاعیه	76.242165
دریافت پردازش	74.806486
مصوبه	74.558210
ردیف	74.486446
خطا	74.226151
تحویل	74.160285
اطلاعات کد	74.066998
پیغام خطای شماره	73.748042
ارجاع اطلاعات کد	73.652352
اینترنتی	73.529891
تمدید	73.291214
فیلد	73.255505
چک بانکی	72.959701
ابطال	72.772931
ارز	72.768969
اسنادی	72.288317
مجدد	72.183182
مرکز	71.561953
مطابق اطلاعیه	71.339122
خطای اطلاعات	71.015295
پیغام خطای اطلاعات	71.015295
مرکزی	70.466907
گزارش وضعیت	70.017368
اقدام طریق پردازش	69.756667
لاک	68.962674
اشتباه نمایش	68.778183
جهت استعلام	68.296703
بانک مرکزی	67.981827
شماره همراه	67.639351
ارزی	67.483466
بدهی	67.366642
شعب	67.300459
فروش	66.937006
جام	66.911072
بن	66.674155
مشتری شماره	66.623543
حساب شماره	65.608093
اقدام جهت	65.607676
اعتبار اسنادی	65.586384
وثایق	65.289738
انتخاب	64.778380
وجه	64.759507
طریق سامانه	64.515879
پیگیری	64.435785
صیاد	64.038830
گردش	63.879237
گزارش صورتحساب	63.768685
طریق اقدام جهت	63.330979
ثبت درخواست	63.131069
مذکور	62.994253
شماره حساب شماره	62.720941
افتتاح حساب	62.569745
کد ملی	62.567647
شماره مشتری شماره	62.351416
روز	61.946415
صورتیکه	61.941479
انسداد	61.916193
انتقالی	61.861457
سیستم	61.031803
ناقص	60.909835
سقف	60.581050
شناسه ملی	59.994945
بن کارت	59.836097
سررسید	59.633626
کاربری	59.603636
اقساط	59.464676
دریافت طریق	59.344752
گزارش استعلام	58.556833
توسط	58.538794
ذینفع	58.505918
استفاده	58.355527
هدیه	58.227220
شرح	58.125596
برگشتی	57.793600
شرایط	57.775356
ستاد	57.445710
عملکرد	56.947324
اقدام جهت بررسی	56.930942
نشد	56.847098
پردازش صدور	56.734016
احوال	56.596742
ثبت احوال	56.563179
محل	56.244156
بانکداری متمرکز	56.231551
ورود سامانه	56.182132
موجودی	56.147076
سامانه بانکداری متمرکز	55.867539
داخلی	55.593996
پایا	55.444780
پردازش گزارش صورتحساب	55.252673
بررسی صورتی	55.114338
مشخصات	54.942417
تسویه	54.794090
کد کاربری	54.510381
ناقص اشتباه	54.327610
اطلاعات سری	54.134552
ارجاع اطلاعات سری	53.634861
بابت	53.252602
شماره کارت	53.219884
وندیا	53.141898
متمرکز جام	53.030046
اطلاعات سری سریال	53.013957
بانکداری متمرکز جام	52.579870
خودپرداز	52.574665
پردازش گزارش وضعیت	52.387790
بک	52.341242
صفحه	52.139059
پردازش استعلام	51.948881
آخر	51.846552
اشتباه نمایش جهت	51.694248
بانکداری اینترنتی	51.369089
سامانه بک	51.212306
شرایط برداشت	51.033191
مشتری حقوقی	50.877522
صورت بررسی	50.674703
ناقص اشتباه نمایش	50.614292
اسنادی داخلی	50.567953
چکاوک	50.302578
بیمه	50.264913
ذکر	50.040800
گردش آخر	49.472872
آفیس	49.433579
بک آفیس	49.283336
صورتحساب گردش	49.239312
گزارش صورتحساب گردش	49.037065
صورتحساب گردش آخر	48.980209
اعتبار اسنادی داخلی	48.815566
پشتیبانی	48.640410
مدیریت	48.538476
سامانه وندیا	48.473010
سامانه بک آفیس	48.339026
مشتری حقیقی	48.309475
خرید	48.133815
پوز	48.031890
مجاز	47.936715
اکسس	47.871931
موجود	47.824727
اداره	47.768963
شهاب	47.570203
نقش	47.415043
سند	47.404574
هدیه کارت	47.200296
گزینه	47.073512
پرسنلی	47.041044
صاحب	46.993076
ثبت قرارداد	46.602709
صحیح	46.545790
ایجاد	46.519895
بروزرسانی مشتری	46.120585
تکلیف	45.952704
حواله پایا	45.951982
موارد	45.844322
بایگانی	45.709425
لاک جهت	45.421314
اکسس کارت	45.415855
تخصیص	45.394622
وضعیت درخواست	45.384373
دریافت پردازش گزارش	45.300180
لاک جهت بررسی	45.023925
سرویس	44.941356
وضعیت چک	44.865386
آنی	44.767549
اوراق	44.667752
پاسخ	44.615398
داخلی بانکی	44.573970
سود	44.523303
مالی	44.444838
گزارش ریز	44.332756
not	44.254121
دریافت طریق پردازش	43.923634
اصلی	43.919888
ثبت صورت	43.765642
درخواست حواله	43.630496
